"beta","pow","sample_size","sigma","test"
0.01,NA,100,5,"smooth1"
0.06,NA,100,5,"smooth1"
0.11,0.896904464502716,100,5,"smooth1"
0.16,0.895188941323853,100,5,"smooth1"
0.21,0.893550078009021,100,5,"smooth1"
0.26,0.891983054187938,100,5,"smooth1"
0.31,0.890483049490319,100,5,"smooth1"
0.36,0.889045243545882,100,5,"smooth1"
0.41,0.887662664524046,100,5,"smooth1"
0.46,0.886271575455364,100,5,"smooth1"
0.51,0.884877702969923,100,5,"smooth1"
0.56,0.88352656665839,100,5,"smooth1"
0.61,0.88226368611144,100,5,"smooth1"
0.66,0.881134580919738,100,5,"smooth1"
0.71,0.880184770673957,100,5,"smooth1"
0.76,0.87946054396218,100,5,"smooth1"
0.81,0.879010704205454,100,5,"smooth1"
0.86,0.878810839583737,100,5,"smooth1"
0.91,0.878814415169774,100,5,"smooth1"
0.96,0.878974896036313,100,5,"smooth1"
1.01,0.879245747256098,100,5,"smooth1"
1.06,0.879580433901877,100,5,"smooth1"
1.11,0.879932421046395,100,5,"smooth1"
1.16,0.8802551737624,100,5,"smooth1"
1.21,0.880502157122636,100,5,"smooth1"
1.26,0.880625522065729,100,5,"smooth1"
1.31,0.880573671479442,100,5,"smooth1"
1.36,0.880421621187741,100,5,"smooth1"
1.41,0.880282437267659,100,5,"smooth1"
1.46,0.88026918579623,100,5,"smooth1"
1.51,0.880489909689225,100,5,"smooth1"
1.56,0.880864291655931,100,5,"smooth1"
1.61,0.88132222296584,100,5,"smooth1"
1.66,0.88186169033698,100,5,"smooth1"
1.71,0.882480680487382,100,5,"smooth1"
1.76,0.883177180135072,100,5,"smooth1"
1.81,0.883949175998082,100,5,"smooth1"
1.86,0.88479465479444,100,5,"smooth1"
1.91,0.885711603242173,100,5,"smooth1"
1.96,0.886698008059313,100,5,"smooth1"
2.01,0.887751855963888,100,5,"smooth1"
2.06,0.888871133673927,100,5,"smooth1"
2.11,0.890053827907459,100,5,"smooth1"
2.16,0.891297925382512,100,5,"smooth1"
2.21,0.892601412817117,100,5,"smooth1"
2.26,NA,100,5,"smooth1"
2.31,NA,100,5,"smooth1"
2.36,NA,100,5,"smooth1"
2.41,NA,100,5,"smooth1"
2.46,NA,100,5,"smooth1"
-0.01,NA,100,5,"smooth1"
-0.06,NA,100,5,"smooth1"
-0.11,0.896904464502716,100,5,"smooth1"
-0.16,0.895188941323853,100,5,"smooth1"
-0.21,0.893550078009021,100,5,"smooth1"
-0.26,0.891983054187938,100,5,"smooth1"
-0.31,0.890483049490319,100,5,"smooth1"
-0.36,0.889045243545882,100,5,"smooth1"
-0.41,0.887662664524046,100,5,"smooth1"
-0.46,0.886271575455364,100,5,"smooth1"
-0.51,0.884877702969923,100,5,"smooth1"
-0.56,0.88352656665839,100,5,"smooth1"
-0.61,0.88226368611144,100,5,"smooth1"
-0.66,0.881134580919738,100,5,"smooth1"
-0.71,0.880184770673957,100,5,"smooth1"
-0.76,0.87946054396218,100,5,"smooth1"
-0.81,0.879010704205454,100,5,"smooth1"
-0.86,0.878810839583737,100,5,"smooth1"
-0.91,0.878814415169774,100,5,"smooth1"
-0.96,0.878974896036313,100,5,"smooth1"
-1.01,0.879245747256098,100,5,"smooth1"
-1.06,0.879580433901877,100,5,"smooth1"
-1.11,0.879932421046395,100,5,"smooth1"
-1.16,0.8802551737624,100,5,"smooth1"
-1.21,0.880502157122636,100,5,"smooth1"
-1.26,0.880625522065729,100,5,"smooth1"
-1.31,0.880573671479442,100,5,"smooth1"
-1.36,0.880421621187741,100,5,"smooth1"
-1.41,0.880282437267659,100,5,"smooth1"
-1.46,0.88026918579623,100,5,"smooth1"
-1.51,0.880489909689225,100,5,"smooth1"
-1.56,0.880864291655931,100,5,"smooth1"
-1.61,0.88132222296584,100,5,"smooth1"
-1.66,0.88186169033698,100,5,"smooth1"
-1.71,0.882480680487382,100,5,"smooth1"
-1.76,0.883177180135072,100,5,"smooth1"
-1.81,0.883949175998082,100,5,"smooth1"
-1.86,0.88479465479444,100,5,"smooth1"
-1.91,0.885711603242173,100,5,"smooth1"
-1.96,0.886698008059313,100,5,"smooth1"
-2.01,0.887751855963888,100,5,"smooth1"
-2.06,0.888871133673927,100,5,"smooth1"
-2.11,0.890053827907459,100,5,"smooth1"
-2.16,0.891297925382512,100,5,"smooth1"
-2.21,0.892601412817117,100,5,"smooth1"
-2.26,NA,100,5,"smooth1"
-2.31,NA,100,5,"smooth1"
-2.36,NA,100,5,"smooth1"
-2.41,NA,100,5,"smooth1"
-2.46,NA,100,5,"smooth1"
0.01,NA,100,5,"smooth2"
0.06,NA,100,5,"smooth2"
0.11,0.898964197486143,100,5,"smooth2"
0.16,0.89672899636085,100,5,"smooth2"
0.21,0.894582971161013,100,5,"smooth2"
0.26,0.892514843507927,100,5,"smooth2"
0.31,0.890513335022885,100,5,"smooth2"
0.36,0.88856716732718,100,5,"smooth2"
0.41,0.886662997310385,100,5,"smooth2"
0.46,0.884736052966505,100,5,"smooth2"
0.51,0.882796522920746,100,5,"smooth2"
0.56,0.880894139292288,100,5,"smooth2"
0.61,0.87907863420031,100,5,"smooth2"
0.66,0.87739973976399,100,5,"smooth2"
0.71,0.875907188102508,100,5,"smooth2"
0.76,0.874649511607373,100,5,"smooth2"
0.81,0.873618824560016,100,5,"smooth2"
0.86,0.872778563589509,100,5,"smooth2"
0.91,0.872103349045549,100,5,"smooth2"
0.96,0.871567801277832,100,5,"smooth2"
1.01,0.871146540636055,100,5,"smooth2"
1.06,0.870814187469915,100,5,"smooth2"
1.11,0.870545362129108,100,5,"smooth2"
1.16,0.870314684963331,100,5,"smooth2"
1.21,0.87009677632228,100,5,"smooth2"
1.26,0.869860969513864,100,5,"smooth2"
1.31,0.869458557668708,100,5,"smooth2"
1.36,0.868969942118978,100,5,"smooth2"
1.41,0.8685828480477,100,5,"smooth2"
1.46,0.868485000637898,100,5,"smooth2"
1.51,0.868854951544598,100,5,"smooth2"
1.56,0.869532492387583,100,5,"smooth2"
1.61,0.870390300883794,100,5,"smooth2"
1.66,0.871427739136345,100,5,"smooth2"
1.71,0.872644169248351,100,5,"smooth2"
1.76,0.874038953322926,100,5,"smooth2"
1.81,0.875611453463185,100,5,"smooth2"
1.86,0.877361031772242,100,5,"smooth2"
1.91,0.87928705035321,100,5,"smooth2"
1.96,0.881388871309205,100,5,"smooth2"
2.01,0.883665856743342,100,5,"smooth2"
2.06,0.886117368758733,100,5,"smooth2"
2.11,0.888742769458494,100,5,"smooth2"
2.16,0.891541420945739,100,5,"smooth2"
2.21,0.894512685323582,100,5,"smooth2"
2.26,NA,100,5,"smooth2"
2.31,NA,100,5,"smooth2"
2.36,NA,100,5,"smooth2"
2.41,NA,100,5,"smooth2"
2.46,NA,100,5,"smooth2"
-0.01,NA,100,5,"smooth2"
-0.06,NA,100,5,"smooth2"
-0.11,0.898964197486143,100,5,"smooth2"
-0.16,0.89672899636085,100,5,"smooth2"
-0.21,0.894582971161013,100,5,"smooth2"
-0.26,0.892514843507927,100,5,"smooth2"
-0.31,0.890513335022885,100,5,"smooth2"
-0.36,0.88856716732718,100,5,"smooth2"
-0.41,0.886662997310385,100,5,"smooth2"
-0.46,0.884736052966505,100,5,"smooth2"
-0.51,0.882796522920746,100,5,"smooth2"
-0.56,0.880894139292288,100,5,"smooth2"
-0.61,0.87907863420031,100,5,"smooth2"
-0.66,0.87739973976399,100,5,"smooth2"
-0.71,0.875907188102508,100,5,"smooth2"
-0.76,0.874649511607373,100,5,"smooth2"
-0.81,0.873618824560016,100,5,"smooth2"
-0.86,0.872778563589509,100,5,"smooth2"
-0.91,0.872103349045549,100,5,"smooth2"
-0.96,0.871567801277832,100,5,"smooth2"
-1.01,0.871146540636055,100,5,"smooth2"
-1.06,0.870814187469915,100,5,"smooth2"
-1.11,0.870545362129108,100,5,"smooth2"
-1.16,0.870314684963331,100,5,"smooth2"
-1.21,0.87009677632228,100,5,"smooth2"
-1.26,0.869860969513864,100,5,"smooth2"
-1.31,0.869458557668708,100,5,"smooth2"
-1.36,0.868969942118978,100,5,"smooth2"
-1.41,0.8685828480477,100,5,"smooth2"
-1.46,0.868485000637898,100,5,"smooth2"
-1.51,0.868854951544598,100,5,"smooth2"
-1.56,0.869532492387583,100,5,"smooth2"
-1.61,0.870390300883794,100,5,"smooth2"
-1.66,0.871427739136345,100,5,"smooth2"
-1.71,0.872644169248351,100,5,"smooth2"
-1.76,0.874038953322926,100,5,"smooth2"
-1.81,0.875611453463185,100,5,"smooth2"
