"response","time_taken","conf_level","choice_reason","sample_size","p_value","age","academic_study","gender","beta","sigma","id","replica","pic"
"FALSE",75,2,"2",100,0.0036,9,4,"Male",3,5,92,2,"plot_turk1_100_3_5_2.png"
"FALSE",77,2,"2",100,0.1867,9,4,"Male",3,12,92,2,"plot_turk1_100_3_12_2.png"
"FALSE",48,2,"1",100,0,9,4,"Male",8,12,92,1,"plot_turk1_100_8_12_1.png"
"FALSE",93,2,"1",100,0.0186,9,4,"Male",8,12,92,3,"plot_turk1_100_8_12_3.png"
"TRUE",26,1,"1",100,0,9,4,"Male",10,12,92,1,"plot_turk1_100_10_12_1.png"
"TRUE",71,3,"2",100,1e-04,9,4,"Male",10,12,92,2,"plot_turk1_100_10_12_2.png"
"TRUE",37,1,"1",100,0,9,4,"Male",16,12,92,1,"plot_turk1_100_16_12_1.png"
"TRUE",64,2,"1",300,0,9,4,"Male",3,5,92,1,"plot_turk1_300_3_5_1.png"
"TRUE",47,2,"2",300,3e-04,9,4,"Male",5,12,92,2,"plot_turk1_300_5_12_2.png"
"TRUE",44,2,"2",300,0,9,4,"Male",7,12,92,2,"plot_turk1_300_7_12_2.png"
"TRUE",94,1,"1",100,1e-04,3,3,"Male",3,5,131,1,"plot_turk1_100_3_5_1.png"
"FALSE",98,1,"3",100,0.1867,3,3,"Male",3,12,131,2,"plot_turk1_100_3_12_2.png"
"TRUE",36,2,"1",100,0,3,3,"Male",8,12,131,1,"plot_turk1_100_8_12_1.png"
"FALSE",43,1,"1",100,0.001,3,3,"Male",8,12,131,2,"plot_turk1_100_8_12_2.png"
"FALSE",80,2,"1",100,1e-04,3,3,"Male",10,12,131,2,"plot_turk1_100_10_12_2.png"
"FALSE",27,1,"1",300,0.0155,3,3,"Male",2,5,131,3,"plot_turk1_300_2_5_3.png"
"TRUE",37,1,"1",300,0,3,3,"Male",5,5,131,3,"plot_turk1_300_5_5_3.png"
"FALSE",72,2,"3",300,0.7854,3,3,"Male",1,12,131,3,"plot_turk1_300_1_12_3.png"
"TRUE",83,2,"1",300,0.0295,3,3,"Male",3,12,131,2,"plot_turk1_300_3_12_2.png"
"FALSE",71,1,"1",300,0.0082,3,3,"Male",5,12,131,3,"plot_turk1_300_5_12_3.png"
"TRUE",19,3,"2",100,1e-04,2,3,"Female",3,5,52,1,"plot_turk1_100_3_5_1.png"
"FALSE",37,2,"1",100,0.8414,2,3,"Female",1,12,52,3,"plot_turk1_100_1_12_3.png"
"FALSE",25,3,"1",100,0.001,2,3,"Female",8,12,52,2,"plot_turk1_100_8_12_2.png"
"FALSE",18,1,"1",100,1e-04,2,3,"Female",10,12,52,2,"plot_turk1_100_10_12_2.png"
"FALSE",46,2,"2",300,0.0063,2,3,"Female",1,5,52,1,"plot_turk1_300_1_5_1.png"
"FALSE",16,2,"1",300,0.4401,2,3,"Female",1,5,52,3,"plot_turk1_300_1_5_3.png"
"TRUE",20,3,"1",300,0,2,3,"Female",3,5,52,1,"plot_turk1_300_3_5_1.png"
"TRUE",10,2,"1",300,0,2,3,"Female",5,5,52,2,"plot_turk1_300_5_5_2.png"
"FALSE",24,2,"2",300,0.0015,2,3,"Female",3,12,52,1,"plot_turk1_300_3_12_1.png"
"TRUE",16,2,"2",300,0.0295,2,3,"Female",3,12,52,2,"plot_turk1_300_3_12_2.png"
"TRUE",26,4,"3",100,1e-04,6,5,"Female",3,5,144,1,"plot_turk1_100_3_5_1.png"
"FALSE",20,3,"2",100,0.1867,6,5,"Female",3,12,144,2,"plot_turk1_100_3_12_2.png"
"TRUE",15,3,"3",100,0,6,5,"Female",8,12,144,1,"plot_turk1_100_8_12_1.png"
"FALSE",16,3,"2",100,0.0186,6,5,"Female",8,12,144,3,"plot_turk1_100_8_12_3.png"
"FALSE",29,3,"2",100,0.0033,6,5,"Female",10,12,144,3,"plot_turk1_100_10_12_3.png"
"FALSE",29,5,"2",300,0.8156,6,5,"Female",0,5,144,3,"plot_turk1_300_0_5_3.png"
"FALSE",21,3,"1",300,0.0063,6,5,"Female",1,5,144,1,"plot_turk1_300_1_5_1.png"
"TRUE",68,4,"1",300,0,6,5,"Female",3,5,144,3,"plot_turk1_300_3_5_3.png"
"FALSE",23,3,"3",300,0.2258,6,5,"Female",3,12,144,3,"plot_turk1_300_3_12_3.png"
"TRUE",18,4,"1",300,0,6,5,"Female",10,12,144,1,"plot_turk1_300_10_12_1.png"
"TRUE",15,3,"1",100,0.1785,2,1,"Male",0,5,12,1,"plot_turk1_100_0_5_1.png"
"FALSE",83,2,"1",100,0.0036,2,1,"Male",3,5,12,2,"plot_turk1_100_3_5_2.png"
"FALSE",58,2,"1",100,0.1867,2,1,"Male",3,12,12,2,"plot_turk1_100_3_12_2.png"
"FALSE",44,3,"1",300,0.0063,2,1,"Male",1,5,12,1,"plot_turk1_300_1_5_1.png"
"FALSE",41,3,"1",300,0.0898,2,1,"Male",1,5,12,2,"plot_turk1_300_1_5_2.png"
"TRUE",38,4,"1",300,0,2,1,"Male",3,5,12,2,"plot_turk1_300_3_5_2.png"
"TRUE",32,3,"1",300,0,2,1,"Male",5,5,12,3,"plot_turk1_300_5_5_3.png"
"TRUE",70,4,"1",300,0.2258,2,1,"Male",3,12,12,3,"plot_turk1_300_3_12_3.png"
"FALSE",33,4,"1",300,3e-04,2,1,"Male",5,12,12,2,"plot_turk1_300_5_12_2.png"
"FALSE",31,3,"1",300,0.0082,2,1,"Male",5,12,12,3,"plot_turk1_300_5_12_3.png"
"FALSE",42,2,"2",100,0.1785,9,5,"Male",0,5,88,1,"plot_turk1_100_0_5_1.png"
"FALSE",53,2,"2",100,0.0036,9,5,"Male",3,5,88,2,"plot_turk1_100_3_5_2.png"
