"response","time_taken","conf_level","choice_reason","sample_size","p_value","age","academic_study","gender","beta","sigma","id","pic"
"TRUE",9,1,"13",100,9e-04,5,5,"Female",0.1,5,137,"plot_turk3_100_10_5_1.png"
"TRUE",23,1,"13",100,0,5,5,"Female",0.1,5,137,"plot_turk3_100_10_5_5.png"
"TRUE",10,1,"123",100,0.009,5,5,"Female",-0.4,5,137,"plot_turk3_100_40_5_2.png"
"TRUE",9,1,"13",100,1e-04,5,5,"Female",-0.4,5,137,"plot_turk3_100_40_5_3.png"
"TRUE",10,1,"123",100,0.1276,5,5,"Female",-0.4,5,137,"plot_turk3_100_40_5_4.png"
"TRUE",10,1,"123",100,0.1276,5,5,"Female",-0.4,5,137,"plot_turk3_100_40_5_4.png"
"TRUE",11,1,"123",100,0.0056,5,5,"Female",-0.75,5,137,"plot_turk3_100_75_5_2.png"
"TRUE",8,1,"123",100,0.1079,5,5,"Female",0.75,5,137,"plot_turk3_100_75_5_4.png"
"TRUE",11,1,"123",100,1e-04,5,5,"Female",0.75,5,137,"plot_turk3_100_75_5_5.png"
"TRUE",10,1,"13",100,1e-04,5,5,"Female",0.75,5,137,"plot_turk3_100_75_5_5.png"
"TRUE",11,1,"123",100,0.0476,5,5,"Female",-1.25,5,137,"plot_turk3_100_125_5_1.png"
"TRUE",13,1,"123",100,0.004,5,5,"Female",-1.25,5,137,"plot_turk3_100_125_5_4.png"
"TRUE",12,1,"123",100,0.0487,5,5,"Female",-1.25,5,137,"plot_turk3_100_125_5_5.png"
"TRUE",10,1,"123",100,0.0987,5,5,"Female",-1.5,5,137,"plot_turk3_100_150_5_2.png"
"TRUE",10,1,"123",100,0.0771,5,5,"Female",-1.5,5,137,"plot_turk3_100_150_5_3.png"
"TRUE",12,1,"123",100,0.0622,5,5,"Female",1.5,5,137,"plot_turk3_100_150_5_5.png"
"TRUE",9,1,"123",100,0.0805,5,5,"Female",-2.25,5,137,"plot_turk3_100_225_5_1.png"
