"experiment","effect","limit1","limit2"
"Experiment 1",0.01,0.00752214530714767,0.100006657531805
"Experiment 1",0.21,0.0177589498964105,0.103460405819628
"Experiment 1",0.41,0.0276434817409344,0.107394319334707
"Experiment 1",0.61,0.0376768153848894,0.112180969135889
"Experiment 1",0.81,0.047875618660216,0.117534827755176
"Experiment 1",1.01,0.0577601855018333,0.12315890536793
"Experiment 1",1.21,0.0681302471373086,0.129279968206292
"Experiment 1",1.41,0.0784314378106317,0.135818312364367
"Experiment 1",1.61,0.0888535197422725,0.142876577684517
"Experiment 1",1.81,0.0990946238609086,0.150559049688358
"Experiment 1",2.01,0.109381681434536,0.158898962649584
"Experiment 1",2.21,0.119490105125587,0.166528824449212
"Experiment 1",2.41,0.130159367920879,0.176164189416409
"Experiment 1",2.61,0.140475185265652,0.185719115780344
"Experiment 1",2.81,0.152089042407318,0.195783391689306
"Experiment 1",3.01,0.163473380599886,0.206008492032423
"Experiment 1",3.21,0.175004309326175,0.217051083701864
"Experiment 1",3.41,0.186598064002895,0.228845507697167
"Experiment 1",3.61,0.19825772457221,0.240199974199253
"Experiment 1",3.81,0.209944460586052,0.252224684642203
"Experiment 1",4.01,0.221785303791791,0.264452240554147
"Experiment 1",4.21,0.23440878097876,0.277792005522205
"Experiment 1",4.41,0.246934244717519,0.291123995156241
"Experiment 1",4.61,0.260040942571873,0.304280361369591
"Experiment 1",4.81,0.273194740264602,0.318211528161952
"Experiment 1",5.01,0.286437426189576,0.331734494393734
"Experiment 1",5.21,0.299510387026129,0.34497239134108
"Experiment 1",5.41,0.313062643024747,0.358921143111561
"Experiment 1",5.61,0.326770103411264,0.373574659980306
"Experiment 1",5.81,0.340769091677248,0.388149457977183
"Experiment 1",6.01,0.354485045720552,0.402689783873433
"Experiment 1",6.21,0.368767087470662,0.417320925573916
"Experiment 1",6.41,0.384155483290843,0.433212079681224
"Experiment 1",6.61,0.399641887451725,0.448888935456568
"Experiment 1",6.81,0.414726111380378,0.464313567147065
"Experiment 1",7.01,0.430813137626103,0.481530819902692
"Experiment 1",7.21,0.446269039847698,0.497815903624319
"Experiment 1",7.41,0.460846040259505,0.512829041010938
"Experiment 1",7.61,0.475591479320075,0.528470720439222
"Experiment 1",7.81,0.490538315923537,0.544250572660335
"Experiment 1",8.01,0.505737221979523,0.560206206891944
"Experiment 1",8.21,0.521444778444238,0.57670937121283
"Experiment 1",8.41,0.536970479544163,0.592808855138427
"Experiment 1",8.61,0.552419089703346,0.608519033646739
"Experiment 1",8.81,0.567527167843995,0.6243862084338
"Experiment 1",9.01,0.582464856816811,0.640462983318387
"Experiment 1",9.21,0.597135217655717,0.656615571687175
"Experiment 1",9.41,0.611197052370478,0.671610133641281
"Experiment 1",9.61,0.624225395869282,0.685858366704011
"Experiment 1",9.81,0.637137333291531,0.699498243223198
"Experiment 1",10.01,0.649380589948741,0.712357098855548
"Experiment 1",10.21,0.660929252386527,0.724186552039122
"Experiment 1",10.41,0.672074959270691,0.735227721127761
"Experiment 1",10.61,0.682778031592635,0.746080898213081
"Experiment 1",10.81,0.69376166246298,0.756867364165653
"Experiment 1",11.01,0.704421545792363,0.766718114258553
"Experiment 1",11.21,0.713718301517729,0.7767406793932
"Experiment 1",11.41,0.723511110066261,0.785919729414924
"Experiment 1",11.61,0.732284575450105,0.79540152591904
"Experiment 1",11.81,0.74043868935426,0.804285620677438
"Experiment 1",12.01,0.748451929837018,0.812258657164795
"Experiment 1",12.21,0.755713699998004,0.820591571960247
"Experiment 1",12.41,0.763520924640061,0.828886165885894
"Experiment 1",12.61,0.77045361023004,0.837088709086309
"Experiment 1",12.81,0.77692783455502,0.844849629679408
"Experiment 1",13.01,0.783340869621034,0.852459644324099
"Experiment 1",13.21,0.788473132682457,0.859633773085075
"Experiment 1",13.41,0.793450281106349,0.866151014668263
"Experiment 1",13.61,0.798240820767452,0.872162983387437
"Experiment 1",13.81,0.802798023053955,0.878970494671231
"Experiment 1",14.01,0.806682070944906,0.884632480468718
"Experiment 1",14.21,0.809745976304436,0.890700247067409
"Experiment 1",14.41,0.812672196908133,0.896054497130382
"Experiment 1",14.61,0.815418381869189,0.90113998898046
"Experiment 1",14.81,0.81696802128017,0.906422554273888
"Experiment 1",15.01,0.81834559129477,0.911738855745894
"Experiment 1",15.21,0.818686885521222,0.916527248128612
"Experiment 1",15.41,0.818702022534394,0.921422911964578
"Experiment 1",15.61,0.818232867176275,0.925674848587451
"Experiment 1",15.81,0.817852732874908,0.929578011424817
"Experiment 1",16.01,0.815883180092916,0.933151380083049
"Experiment 1",16.21,0.81438795590233,0.936398995308963
"Experiment 1",16.41,0.813157386205098,0.939612283812567
"Experiment 1",16.61,0.810742553115618,0.941864636817461
"Experiment 1",16.81,0.808854277695642,0.943737725459105
"Experiment 1",17.01,0.805372447246585,0.945992934099091
"Experiment 1",17.21,0.8001927884026,0.948023064612337
"Experiment 2",0.01,-0.0144881477191871,0.0467501049614219
"Experiment 2",0.21,0.0142952655336561,0.0632140916567308
"Experiment 2",0.41,0.0447742860158029,0.0851135054426987
"Experiment 2",0.61,0.077412810300607,0.112626274796967
"Experiment 2",0.81,0.11119349685484,0.145144820219331
"Experiment 2",1.01,0.146162186889021,0.181944489062268
"Experiment 2",1.21,0.182579980898246,0.220775768795115
"Experiment 2",1.41,0.222368625989464,0.263284158123186
"Experiment 2",1.61,0.265332533835171,0.309090429452058
"Experiment 2",1.81,0.310672601326751,0.359109918447208
"Experiment 2",2.01,0.359656306089791,0.4099845454388
"Experiment 2",2.21,0.410111374215323,0.462828858218638
"Experiment 2",2.41,0.462683214190869,0.515082732002936
"Experiment 2",2.61,0.52190366148719,0.575477433950542
"Experiment 2",2.81,0.581685836415001,0.632089906055054
"Experiment 2",3.01,0.641013540821344,0.687628571434581
"Experiment 2",3.21,0.692125159995735,0.737991539688188
"Experiment 2",3.41,0.732268584329342,0.778444455564048
"Experiment 2",3.61,0.767783834478546,0.812222151865073
"Experiment 2",3.81,0.799972618942102,0.842273270864745
"Experiment 2",4.01,0.828403546229238,0.868582345231744
"Experiment 2",4.21,0.853759482822641,0.891096269170162
"Experiment 2",4.41,0.875954506490299,0.909813154725635
"Experiment 2",4.61,0.895130375111041,0.925235025922861
"Experiment 2",4.81,0.907665440017953,0.937310003013072
"Experiment 2",5.01,0.915927576022107,0.945790530469378
"Experiment 2",5.21,0.9176602872088,0.951881632665544
"Experiment 2",5.41,0.914974638704982,0.955173672288923
"Experiment 3",0.01,NA,NA
"Experiment 3",0.21,0.541946206273826,0.664920861326812
"Experiment 3",0.41,0.569657494354095,0.670015864106772
"Experiment 3",0.61,0.593817505009234,0.676125242869216
"Experiment 3",0.81,0.612248577448027,0.682671804648167
"Experiment 3",1.01,0.62658128198205,0.692081739295328
"Experiment 3",1.21,0.639072042900245,0.702235869718443
"Experiment 3",1.41,0.647510545433148,0.711816897530082
"Experiment 3",1.61,0.655698201612667,0.722314560505399
"Experiment 3",1.81,0.662296462628662,0.728461684772351
"Experiment 3",2.01,0.667586710512538,0.7324302009664
"Experiment 3",2.21,0.671614979428249,0.736298863564722
"Experiment 3",2.41,0.676320282712764,0.741508139595173
"Experiment 3",2.61,0.682031984560127,0.74763702443432
"Experiment 3",2.81,0.687982444056145,0.753972564047876
"Experiment 3",3.01,0.694544557565878,0.76145221134128
"Experiment 3",3.21,0.70512878055595,0.769306967591652
"Experiment 3",3.41,0.714409059612205,0.778872369068494
"Experiment 3",3.61,0.724095655807158,0.791198714557528
"Experiment 3",3.81,0.733280810241685,0.803159696573407
"Experiment 3",4.01,0.74064914743851,0.819091324156797
"Experiment 3",4.21,0.747109003568173,0.835445624252083
"Experiment 3",4.41,0.748813330340778,0.856076477080312
