"id","response","ip_address","response_no","plot_location","start_time","end_time","time_taken","conf_level","choice_reason","sample_size","p_value","pic_id","pic_name","experiment","difficulty","description","age","gender","academic_study","beta","sigma","replica"
1,"FALSE","96.21.228.85",18,5,"2011-04-26 18:58:47","2011-04-26 18:59:00",13,4,"1",100,0.5453,"154","plot_turk2_100_25_5_3.png","turk2","4","Turk2",2,1,2,-0.25,5,3
1,"TRUE","96.21.228.85",7,7,"2011-04-26 18:57:01","2011-04-26 18:57:12",11,4,"1",300,0.0017,"207","plot_turk2_300_230_12_2.png","turk2","1","Turk2",2,1,2,2.3,12,2
1,"TRUE","96.21.228.85",1,1,"2011-04-26 18:57:52","2011-04-26 18:57:59",7,5,"1",100,0,"165","plot_turk2_100_275_5_2.png","turk2","0","Turk2",2,1,2,-2.75,5,2
1,"TRUE","96.21.228.85",19,19,"2011-04-26 18:58:33","2011-04-26 18:58:43",10,4,"1",300,0,"196","plot_turk2_300_150_5_3.png","turk2","0","Turk2",2,1,2,1.5,5,3
1,"FALSE","96.21.228.85",12,13,"2011-04-26 18:59:17","2011-04-26 18:59:27",10,4,"1",100,0.8014,"169","plot_turk2_100_50_12_3.png","turk2","4","Turk2",2,1,2,-0.5,12,3
1,"FALSE","96.21.228.85",15,17,"2011-04-26 18:57:26","2011-04-26 18:57:40",14,3,"1",300,0.0839,"202","plot_turk2_300_80_12_3.png","turk2","3","Turk2",2,1,2,-0.8,12,3
1,"FALSE","96.21.228.85",18,13,"2011-04-26 18:55:41","2011-04-26 18:56:44",63,2,"1",100,0.7565,"153","plot_turk2_100_25_5_2.png","turk2","4","Turk2",2,1,2,-0.25,5,2
1,"FALSE","96.21.228.85",6,1,"2011-04-26 18:58:09","2011-04-26 18:58:20",11,4,"1",100,0.0539,"173","plot_turk2_100_350_12_1.png","turk2","2","Turk2",2,1,2,3.5,12,1
1,"FALSE","96.21.228.85",10,6,"2011-04-26 18:54:51","2011-04-26 18:55:15",24,3,"1",100,0.0887,"160","plot_turk2_100_125_5_3.png","turk2","2","Turk2",2,1,2,-1.25,5,3
1,"TRUE","96.21.228.85",11,11,"2011-04-26 18:57:13","2011-04-26 18:57:23",10,4,"1",300,1e-04,"204","plot_turk2_300_175_12_2.png","turk2","2","Turk2",2,1,2,1.75,12,2
1,"FALSE","96.21.228.85",14,11,"2011-04-26 18:58:23","2011-04-26 18:58:32",9,3,"1",300,0.108,"201","plot_turk2_300_80_12_2.png","turk2","3","Turk2",2,1,2,0.8,12,2
1,"TRUE","96.21.228.85",20,20,"2011-04-26 18:56:47","2011-04-26 18:57:00",13,4,"1",300,0,"211","plot_turk2_300_350_12_3.png","turk2","0","Turk2",2,1,2,-3.5,12,3
1,"FALSE","96.21.228.85",10,15,"2011-04-26 18:55:22","2011-04-26 18:55:39",17,3,"3",100,0.903,"157","plot_turk2_100_75_5_3.png","turk2","3","Turk2",2,1,2,-0.75,5,3
1,"TRUE","96.21.228.85",3,3,"2011-04-26 18:54:35","2011-04-26 18:54:49",14,4,"1",100,6e-04,"161","plot_turk2_100_175_5_1.png","turk2","1","Turk2",2,1,2,-1.75,5,1
1,"TRUE","96.21.228.85",13,13,"2011-04-26 18:57:41","2011-04-26 18:57:50",9,5,"1",300,0,"210","plot_turk2_300_350_12_2.png","turk2","0","Turk2",2,1,2,3.5,12,2
1,"TRUE","96.21.228.85",1,1,"2011-04-26 18:59:06","2011-04-26 18:59:16",10,5,"1",100,0,"165","plot_turk2_100_275_5_2.png","turk2","0","Turk2",2,1,2,-2.75,5,2
1,"TRUE","96.21.228.85",18,18,"2011-04-26 18:53:29","2011-04-26 18:53:51",22,5,"12",100,0,"166","plot_turk2_100_275_5_3.png","turk2","0","Turk2",2,1,2,2.75,5,3
1,"TRUE","96.21.228.85",11,11,"2011-04-26 18:59:29","2011-04-26 18:59:37",8,4,"1",300,1e-04,"204","plot_turk2_300_175_12_2.png","turk2","2","Turk2",2,1,2,1.75,12,2
2,"FALSE","174.17.211.6",18,13,"2011-04-26 17:12:20","2011-04-26 17:13:09",49,4,"1",100,0.7565,"153","plot_turk2_100_25_5_2.png","turk2","4","Turk2",9,1,4,-0.25,5,2
2,"FALSE","174.17.211.6",11,18,"2011-04-26 17:10:15","2011-04-26 17:11:06",51,4,"1",100,0.0927,"158","plot_turk2_100_125_5_1.png","turk2","2","Turk2",9,1,4,-1.25,5,1
2,"TRUE","174.17.211.6",10,10,"2011-04-26 17:15:02","2011-04-26 17:15:23",21,5,"1",300,6e-04,"205","plot_turk2_300_175_12_3.png","turk2","2","Turk2",9,1,4,1.75,12,3
2,"TRUE","174.17.211.6",9,9,"2011-04-26 17:09:26","2011-04-26 17:10:11",45,4,"1",100,1e-04,"163","plot_turk2_100_175_5_3.png","turk2","1","Turk2",9,1,4,-1.75,5,3
2,"TRUE","174.17.211.6",10,10,"2011-04-26 17:14:00","2011-04-26 17:14:59",59,4,"1",300,0.0014,"208","plot_turk2_300_230_12_3.png","turk2","1","Turk2",9,1,4,-2.3,12,3
2,"FALSE","174.17.211.6",10,15,"2011-04-26 17:11:11","2011-04-26 17:12:17",66,4,"1",100,0.903,"157","plot_turk2_100_75_5_3.png","turk2","3","Turk2",9,1,4,-0.75,5,3
2,"TRUE","174.17.211.6",20,20,"2011-04-26 17:16:53","2011-04-26 17:17:23",30,5,"1",300,0,"211","plot_turk2_300_350_12_3.png","turk2","0","Turk2",9,1,4,-3.5,12,3
2,"FALSE","174.17.211.6",15,17,"2011-04-26 17:15:26","2011-04-26 17:16:49",83,3,"1",300,0.0839,"202","plot_turk2_300_80_12_3.png","turk2","3","Turk2",9,1,4,-0.8,12,3
2,"TRUE","174.17.211.6",18,18,"2011-04-26 17:07:47","2011-04-26 17:08:51",64,5,"1",100,0,"166","plot_turk2_100_275_5_3.png","turk2","0","Turk2",9,1,4,2.75,5,3
2,"TRUE","174.17.211.6",13,13,"2011-04-26 17:13:13","2011-04-26 17:13:32",19,5,"1",300,0,"210","plot_turk2_300_350_12_2.png","turk2","0","Turk2",9,1,4,3.5,12,2
3,"FALSE","183.83.65.31",1,8,"2011-04-26 18:00:53","2011-04-26 18:01:14",21,1,"1",100,0.1235,"156","plot_turk2_100_75_5_2.png","turk2","3","Turk2",4,1,5,0.75,5,2
